Threshold,Precision,Recall,F1,True_Negatives,False_Positives,False_Negatives,True_Positives
0.72,0.4631578947368421,0.4074074074074074,0.43349753694581283,841,51,64,44
0.73,0.4594594594594595,0.3148148148148148,0.37362637362637363,852,40,74,34
0.74,0.4925373134328358,0.3055555555555556,0.37714285714285717,858,34,75,33
0.75,0.48484848484848486,0.2962962962962963,0.367816091954023,858,34,76,32
0.76,0.46875,0.2777777777777778,0.3488372093023256,858,34,78,30
0.77,0.47619047619047616,0.2777777777777778,0.3508771929824561,859,33,78,30
0.78,0.45614035087719296,0.24074074074074073,0.3151515151515151,861,31,82,26
0.79,0.4375,0.19444444444444445,0.2692307692307692,865,27,87,21
0.8,0.4722222222222222,0.1574074074074074,0.2361111111111111,873,19,91,17
0.81,0.43478260869565216,0.09259259259259259,0.15267175572519084,879,13,98,10
0.82,0.4666666666666667,0.06481481481481481,0.11382113821138211,884,8,101,7
0.83,0.45454545454545453,0.046296296296296294,0.08403361344537816,886,6,103,5
0.84,0.42857142857142855,0.027777777777777776,0.05217391304347826,888,4,105,3
0.85,0.6666666666666666,0.018518518518518517,0.036036036036036036,891,1,106,2
0.86,1.0,0.009259259259259259,0.01834862385321101,892,0,107,1
0.87,0.0,0.0,0.0,892,0,108,0
0.88,0.0,0.0,0.0,892,0,108,0
0.89,0.0,0.0,0.0,892,0,108,0
0.9,0.0,0.0,0.0,892,0,108,0
0.91,0.0,0.0,0.0,892,0,108,0
0.92,0.0,0.0,0.0,892,0,108,0
0.93,0.0,0.0,0.0,892,0,108,0
0.94,0.0,0.0,0.0,892,0,108,0
0.95,0.0,0.0,0.0,892,0,108,0
